label,location,date,value,group
Adidas,76,2011,1,Nike (+2)
Adidas,93,2018,2,Nike (+2)
Adidas,94,2012,1,Nike (+2)
Adidas,93,2014,2,Nike (+2)
Adidas,93,2015,1,Nike (+2)
Adidas,93,2012,2,Nike (+2)
Adidas,93,2016,1,Nike (+2)
Adidas,75,2011,1,Nike (+2)
Adidas,95,2016,1,Nike (+2)
Adidas,77,2018,2,Nike (+2)
Adidas,75,2020,1,Nike (+2)
Adidas,95,2019,1,Nike (+2)
Adidas,61,2011,1,Nike (+2)
Adidas,91,2013,1,Nike (+2)
Adidas,75,2013,2,Nike (+2)
Adidas,69,2019,2,Nike (+2)
Adidas,75,2001,2,Nike (+2)
Adidas,92,2019,1,Nike (+2)
Adidas,95,2007,1,Nike (+2)
Adidas,51,2020,1,Nike (+2)
Adidas,44,2003,1,Nike (+2)
Adidas,75,2004,2,Nike (+2)
Puma,93,2018,1,Nike (+2)
Puma,75,2011,2,Nike (+2)
Puma,34,2009,1,Nike (+2)
Puma,38,2015,1,Nike (+2)
Puma,31,2015,1,Nike (+2)
Puma,25,2007,1,Nike (+2)
Puma,75,2018,1,Nike (+2)
Puma,27,2016,1,Nike (+2)
Puma,27,2014,1,Nike (+2)
Puma,33,2006,1,Nike (+2)
Puma,75,2012,1,Nike (+2)
Puma,75,2019,1,Nike (+2)
Puma,34,2016,1,Nike (+2)
Puma,78,2005,1,Nike (+2)
Puma,44,2018,1,Nike (+2)
Puma,75,2014,1,Nike (+2)
Puma,75,2015,1,Nike (+2)
Puma,13,2012,1,Nike (+2)
Puma,34,2018,1,Nike (+2)
Puma,34,2011,1,Nike (+2)
Puma,68,2017,1,Nike (+2)
Puma,77,2020,1,Nike (+2)
Puma,38,2016,1,Nike (+2)
Puma,33,2018,1,Nike (+2)
Gucci,94,2009,1,Gucci (+2)
Gucci,93,2019,8,Gucci (+2)
Gucci,94,2014,3,Gucci (+2)
Gucci,91,2017,6,Gucci (+2)
Gucci,91,2019,15,Gucci (+2)
Gucci,78,2011,2,Gucci (+2)
Gucci,57,2018,2,Gucci (+2)
Gucci,77,2016,3,Gucci (+2)
Gucci,75,2013,9,Gucci (+2)
Gucci,75,2009,2,Gucci (+2)
Gucci,75,2018,13,Gucci (+2)
Gucci,91,2012,2,Gucci (+2)
Gucci,75,2020,21,Gucci (+2)
Gucci,13,2011,1,Gucci (+2)
Gucci,94,2017,3,Gucci (+2)
Gucci,91,2014,6,Gucci (+2)
Gucci,91,2020,9,Gucci (+2)
Gucci,25,2015,4,Gucci (+2)
Gucci,75,2016,10,Gucci (+2)
Gucci,84,2020,1,Gucci (+2)
Gucci,75,2019,16,Gucci (+2)
Gucci,34,2019,1,Gucci (+2)
Gucci,75,2015,19,Gucci (+2)
Gucci,69,2018,5,Gucci (+2)
Gucci,69,2017,3,Gucci (+2)
Gucci,77,2018,2,Gucci (+2)
